Trial	StimName	Bid	RT
1	bisli.jpg	5.911111111111111	1916
2	doritos.jpg	8.355555555555556	4291
3	snickers.jpg	3.111111111111111	1744
4	mars.jpg	2.911111111111111	1611
5	kitkat.jpg	7.7555555555555555	2267
6	bamba.jpg	6.8	3400
Trial	StimName	Bid	RT
1	kitkat.jpg	5.066666666666666	2365
2	bisli.jpg	5.977777777777778	1440
3	snickers.jpg	5.177777777777778	1932
4	bamba.jpg	5.866666666666666	2548
5	doritos.jpg	7.155555555555556	2945
6	mars.jpg	5.866666666666666	3538
Trial	StimName	Bid	RT
1	snickers.jpg	5.177777777777778	3773
2	mars.jpg	5.355555555555555	2413
3	kitkat.jpg	5.4	1581
4	doritos.jpg	5.066666666666666	1188
5	bamba.jpg	5.022222222222222	2905
6	bisli.jpg	5.288888888888889	1681
Trial	StimName	Bid	RT
1	bisli.jpg	4.333333333333333	3948
2	kitkat.jpg	1.8888888888888888	6789
3	mars.jpg	9.533333333333333	4955
4	doritos.jpg	9.955555555555556	2880
5	snickers.jpg	9.911111111111111	3190
6	bamba.jpg	2.466666666666667	2298
